camera_id,handcounted,handcount,test_case,visually_recheck,setDate,flipDate,days,fID,repl,treat,NstartF,NstartM,box,ccoord,rcoord,deadF,deadM,cens,carriedF,carriedM,X__1,X__2,lower_thresh,area_linear,predicted_count_linear,egg_count
IMG_1927.JPG,NA,NA,NA,NA,2016-02-29T00:00:00Z,2016-03-08T00:00:00Z,8,S11D32_a,a,STD,24,6,2,4,9,0,0,0,0,0,NA,NA,46,113706,864.7388162390778,864.7388162390778
IMG_1928.JPG,NA,NA,NA,NA,2016-03-02T00:00:00Z,2016-03-08T00:00:00Z,6,S25D75_a,a,STD,18,6,1,9,2,0,0,0,0,0,NA,NA,46,95108,723.3002597476493,723.3002597476493
IMG_1931.JPG,NA,NA,NA,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S25D73_a,a,STD,24,6,4,5,7,0,0,0,0,0,NA,NA,46,111731,849.7188598421227,849.7188598421227
IMG_1932.JPG,NA,NA,NA,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S33D97_a,a,STD,24,6,2,7,6,0,0,0,0,0,NA,NA,46,71827,546.2472952527064,546.2472952527064
IMG_1933.JPG,NA,NA,NA,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S47D140_a,a,STD,15,6,1,3,10,0,0,0,0,0,mislabeled as S74D140a,NA,46,77254,587.519853919175,587.519853919175
IMG_1934.JPG,NA,NA,NA,NA,2016-03-04T00:00:00Z,2016-03-08T00:00:00Z,4,S35D103_a,a,STD,18,6,2,7,8,0,0,0,0,0,NA,NA,46,81357,618.7233380187735,618.7233380187735
IMG_1935.JPG,NA,NA,NA,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S41D121_a,a,STD,20,6,1,3,7,0,0,0,0,0,NA,NA,46,78327,595.6800631414195,595.6800631414195
IMG_1938.JPG,NA,NA,NA,NA,2016-02-26T00:00:00Z,2016-03-08T00:00:00Z,11,S29D85_a,a,STD,24,6,4,2,10,0,0,0,0,0,mislabled as S26D85,NA,46,94932,721.9617724940472,721.9617724940472
IMG_1939.JPG,NA,NA,NA,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S5D15_a,a,STD,21,6,1,3,1,0,0,0,0,0,NA,NA,46,78164,594.4404414235948,594.4404414235948
IMG_1940.JPG,NA,NA,NA,NA,2016-03-02T00:00:00Z,2016-03-08T00:00:00Z,6,S17D49_a,a,STD,20,6,4,5,6,0,0,0,0,0,NA,NA,46,127220,967.513343200319,967.513343200319
IMG_1941.JPG,NA,NA,NA,NA,2016-02-29T00:00:00Z,2016-03-08T00:00:00Z,8,S17D50_a,a,STD,24,6,1,6,2,1,0,0,0,0,NA,NA,46,179585,1365.751326353005,1365.751326353005
IMG_1942.JPG,NA,NA,NA,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S1D2_a,a,STD,20,6,2,1,7,0,0,0,0,0,NA,NA,46,93273,709.3450091206049,709.3450091206049
IMG_1944.JPG,NA,NA,NA,NA,2016-03-05T00:00:00Z,2016-03-08T00:00:00Z,3,S27D81_a,a,STD,17,6,3,2,5,0,0,0,0,0,NA,NA,46,82077,624.1989676926,624.1989676926
IMG_1945.JPG,NA,NA,NA,NA,2016-03-02T00:00:00Z,2016-03-08T00:00:00Z,6,S37D109_a,a,STD,24,6,5,4,6,0,0,0,0,0,NA,NA,46,138263,1051.4958133226357,1051.4958133226357
IMG_1946.JPG,NA,NA,NA,NA,2016-02-29T00:00:00Z,2016-03-08T00:00:00Z,8,S19D55_a,a,STD,20,6,3,8,3,0,0,0,0,0,NA,NA,46,132972,1011.2575402612232,1011.2575402612232
