"cameraid"	"setDate"	"flipDate"	"days"	"id"	"fID"	"repl"	"treat"	"NstartF"	"NstartM"	"deadF"	"deadM"	"cens"	"carriedF"	"carriedM"	"Notes"	"img_size"	"egg_count"	"NewAge"	"lifespan_age"	"age"	"sireid"	"damid"	"n_females"	"eggs_per_female"
"IMG_2554.JPG"	"2016-02-29"	"2016-03-29"	29	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	NA	1034	31	28	28	"S11"	"D32"	24	43.0833333333333
"IMG_2593.JPG"	"2016-02-29"	"2016-04-05"	36	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	2280	1017	38	35	35	"S11"	"D32"	24	42.375
"IMG_3452.JPG"	"2016-02-29"	"2016-04-12"	43	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	2630	1037.78884009091	45	42	42	"S11"	"D32"	24	43.2412016704547
"IMG_4271.JPG"	"2016-02-29"	"2016-04-19"	50	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	2960	875.48686126681	52	49	49	"S11"	"D32"	24	36.4786192194504
"IMG_3723.JPG"	"2016-02-29"	"2016-04-26"	57	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	NA	657	59	56	56	"S11"	"D32"	24	27.375
"IMG_4331.JPG"	"2016-02-29"	"2016-05-03"	64	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	0	1	0	0	0	NA	2930	364.519906943093	66	63	63	"S11"	"D32"	24	15.1883294559622
"IMG_4925.JPG"	"2016-02-29"	"2016-05-10"	71	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	1	0	0	0	0	NA	3130	200.998684566487	73	70	70	"S11"	"D32"	20	10.0499342283244
"IMG_5295.JPG"	"2016-02-29"	"2016-05-17"	78	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	2	0	0	0	0	NA	NA	17	80	77	77	"S11"	"D32"	13	1.30769230769231
"IMG_5568.JPG"	"2016-02-29"	"2016-05-24"	85	"S11D32_a_STD"	"S11D32_a"	"a"	"STD"	24	6	0	0	0	0	0	NA	3256	0	87	84	84	"S11"	"D32"	3	0
"IMG_1924.JPG"	"2016-03-05"	"2016-03-08"	3	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	2088	578.518315245733	5	2	2	"S11"	"D32"	16	36.1573947028583
"IMG_2151.JPG"	"2016-03-05"	"2016-03-15"	10	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	2216	1230.29800703629	12	9	9	"S11"	"D32"	16	76.8936254397682
"IMG_2382.JPG"	"2016-03-05"	"2016-03-22"	17	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	NA	614	19	16	16	"S11"	"D32"	16	38.375
"IMG_2533.JPG"	"2016-03-05"	"2016-03-29"	24	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	NA	866	26	23	23	"S11"	"D32"	16	54.125
"IMG_2628.JPG"	"2016-03-05"	"2016-04-05"	31	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	2376	683.616271923358	33	30	30	"S11"	"D32"	16	42.7260169952099
"IMG_3386.JPG"	"2016-03-05"	"2016-04-12"	38	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	2596	755.251555640951	40	37	37	"S11"	"D32"	15	50.3501037093968
"IMG_4627.JPG"	"2016-03-05"	"2016-04-19"	45	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	3057	556.588203082834	47	44	44	"S11"	"D32"	14	39.7563002202024
"IMG_3933.JPG"	"2016-03-05"	"2016-04-26"	52	"S11D32_b_STD"	"S11D32_b"	"b"	"STD"	16	6	0	0	0	0	0	NA	2959	687.379216755857	54	51	51	"S11"	"D32"	14	49.0985154825612
