"id"	"egg_total"	"repl"	"treat"	"sireid"	"damid"
"S47D141_a_HS"	157.030872999193	"a"	"HS"	"S47"	"D141"
"S47D141_a_LY"	355.314012624665	"a"	"LY"	"S47"	"D141"
"S47D141_a_STD"	311.034780636041	"a"	"STD"	"S47"	"D141"
"S47D141_b_LY"	339.940066530407	"b"	"LY"	"S47"	"D141"
"S49D145_a_HS"	200.636774982142	"a"	"HS"	"S49"	"D145"
"S49D145_a_LY"	318.266208149915	"a"	"LY"	"S49"	"D145"
"S49D145_a_STD"	436.757245137897	"a"	"STD"	"S49"	"D145"
"S49D145_b_HS"	203.933037375468	"b"	"HS"	"S49"	"D145"
"S49D145_b_LY"	251.736733038475	"b"	"LY"	"S49"	"D145"
"S49D145_b_STD"	253.445507508303	"b"	"STD"	"S49"	"D145"
"S49D146_a_HS"	162.722235255079	"a"	"HS"	"S49"	"D146"
"S49D146_a_LY"	252.246433737237	"a"	"LY"	"S49"	"D146"
"S49D146_a_STD"	275.461679519243	"a"	"STD"	"S49"	"D146"
"S49D146_b_HS"	197.77664163788	"b"	"HS"	"S49"	"D146"
"S49D146_b_LY"	176.412976385079	"b"	"LY"	"S49"	"D146"
"S49D146_b_STD"	229.131783337026	"b"	"STD"	"S49"	"D146"
"S49D147_a_HS"	158.024452229626	"a"	"HS"	"S49"	"D147"
"S49D147_a_LY"	322.361319460663	"a"	"LY"	"S49"	"D147"
"S49D147_a_STD"	308.096093907997	"a"	"STD"	"S49"	"D147"
"S49D147_b_HS"	160.327747814273	"b"	"HS"	"S49"	"D147"
"S49D147_b_LY"	226.658095460422	"b"	"LY"	"S49"	"D147"
"S49D147_b_STD"	313.128616159622	"b"	"STD"	"S49"	"D147"
"S53D157_a_HS"	201.395285235071	"a"	"HS"	"S53"	"D157"
"S53D157_a_LY"	332.836489406755	"a"	"LY"	"S53"	"D157"
"S53D157_a_STD"	324.456050210748	"a"	"STD"	"S53"	"D157"
