prop_data,prop_train,lower,r,MSD
0.30000000000000004,0.7000000000000001,50,0.7966414058986757,0.14794978088635782
0.30000000000000004,0.8,40,0.7225359054951417,0.18141890716541928
0.30000000000000004,0.8,41,0.7334557012873343,0.17616603760935426
0.30000000000000004,0.8,42,0.7423950809183504,0.16968122837082306
0.30000000000000004,0.8,43,0.749823113599802,0.16449345012398717
0.30000000000000004,0.8,44,0.760181744407477,0.1604717903694021
0.30000000000000004,0.8,45,0.7677664611796731,0.1550124402317455
0.30000000000000004,0.8,46,0.7752542819107506,0.14963109196775412
0.30000000000000004,0.8,47,0.7777081584166485,0.14845289812316007
0.30000000000000004,0.8,48,0.779881389765368,0.14844095589417594
0.30000000000000004,0.8,49,0.7834307892532182,0.147091656593528
0.30000000000000004,0.8,50,0.7856771576273366,0.14622085841726587
0.30000000000000004,0.9,40,0.6544365640393327,0.1802054400373265
0.30000000000000004,0.9,41,0.6713915432012587,0.172454198596958
0.30000000000000004,0.9,42,0.6743538831887387,0.16937609665553646
0.30000000000000004,0.9,43,0.6887136748124151,0.16286162305315774
0.30000000000000004,0.9,44,0.6972681012366589,0.15845546996016938
0.30000000000000004,0.9,45,0.706101031371402,0.15386568348315244
0.30000000000000004,0.9,46,0.7093398607265451,0.15055217951560548
0.30000000000000004,0.9,47,0.7183310183862219,0.14635776668360043
0.30000000000000004,0.9,48,0.7180771638772037,0.1450805796940844
0.30000000000000004,0.9,49,0.7246956374618774,0.14280216389107575
0.30000000000000004,0.9,50,0.7219122407672721,0.14412554267540728
0.4,0.1,40,0.5611549116320895,1.2937206569858484
0.4,0.1,41,0.5791361433563907,1.6147365759086065
0.4,0.1,42,0.6011182192069068,1.3327839468833
0.4,0.1,43,0.6103213372640497,1.6342179261178824
0.4,0.1,44,0.6250756228682202,2.022628932622249
0.4,0.1,45,0.6348153814577235,1.1709715769450257
0.4,0.1,46,0.6430212898918338,1.0168847574820028
0.4,0.1,47,0.648199610179595,1.1442874048945129
0.4,0.1,48,0.6541122600162101,1.2159503089451296
0.4,0.1,49,0.6639149721704594,2.1952015943554617
0.4,0.1,50,0.6614402609319989,0.9741039322929022
0.4,0.2,40,0.7220167261678515,0.24278245317930483
0.4,0.2,41,0.7354338281978057,0.23592470556089243
0.4,0.2,42,0.7527217204294742,0.22595462650971723
0.4,0.2,43,0.7567612955958279,0.22214199906177645
0.4,0.2,44,0.7649373443233524,0.21438984428373156
0.4,0.2,45,0.7769012122555032,0.20883321688197992
0.4,0.2,46,0.7858358806313747,0.20559937169414283
0.4,0.2,47,0.789332928603951,0.2003993520441096
0.4,0.2,48,0.7945256989953412,0.1970290263528798
0.4,0.2,49,0.7976252985276102,0.194342106685733
0.4,0.2,50,0.801843958585693,0.1921884272141784
0.4,0.30000000000000004,40,0.7421852660958962,0.2061248762699576
0.4,0.30000000000000004,41,0.7593434489327566,0.19818058360341229
