camera_id,img_size
IMG_2290.JPG,1970
IMG_2291.JPG,2008
IMG_2292.JPG,1992
IMG_2293.JPG,1975
IMG_2294.JPG,1963
IMG_2295.JPG,1969
IMG_2302.JPG,1789
IMG_2303.JPG,1876
IMG_2304.JPG,1827
IMG_2305.JPG,1928
IMG_2306.JPG,1904
IMG_2307.JPG,2200
IMG_2308.JPG,2240
IMG_2309.JPG,2232
IMG_2310.JPG,2200
IMG_2311.JPG,2179
IMG_2312.JPG,2183
IMG_2313.JPG,2212
IMG_2314.JPG,2216
IMG_2315.JPG,2222
IMG_2316.JPG,2233
IMG_2317.JPG,2238
IMG_2318.JPG,2217
IMG_2319.JPG,2222
IMG_2320.JPG,2178
IMG_2321.JPG,2184
IMG_2322.JPG,2310
IMG_2323.JPG,2222
IMG_2324.JPG,2179
IMG_2325.JPG,2183
IMG_2326.JPG,2204
IMG_2327.JPG,2201
IMG_2329.JPG,2200
IMG_2330.JPG,2211
IMG_2331.JPG,2266
IMG_2332.JPG,2217
IMG_2334.JPG,2223
IMG_2336.JPG,2205
IMG_2337.JPG,2178
IMG_2339.JPG,2178
IMG_2340.JPG,2156
IMG_2341.JPG,2184
IMG_2342.JPG,2168
IMG_2343.JPG,2140
IMG_2344.JPG,2124
IMG_2345.JPG,2152
IMG_2346.JPG,2164
IMG_2348.JPG,2168
IMG_2349.JPG,2188
IMG_2350.JPG,2164
IMG_2351.JPG,2156
IMG_2352.JPG,2168
IMG_2353.JPG,2180
IMG_2354.JPG,2260
IMG_2355.JPG,2216
IMG_2356.JPG,2168
IMG_2357.JPG,2168
IMG_2358.JPG,2148
IMG_2359.JPG,2152
IMG_2360.JPG,2152
IMG_2361.JPG,2188
IMG_2362.JPG,2200
IMG_2363.JPG,2220
IMG_2364.JPG,2192
IMG_2366.JPG,2192
IMG_2367.JPG,2172
IMG_2368.JPG,2180
IMG_2369.JPG,2148
IMG_2370.JPG,2164
IMG_2372.JPG,1913
IMG_2373.JPG,1924
IMG_2375.JPG,1978
IMG_2376.JPG,1893
IMG_2377.JPG,1916
IMG_2378.JPG,1974
IMG_2379.JPG,1981
IMG_2380.JPG,1969
IMG_2383.JPG,1970
IMG_2385.JPG,1996
IMG_2386.JPG,1948
IMG_2387.JPG,1970
IMG_2388.JPG,2045
IMG_2389.JPG,2014
IMG_2390.JPG,2041
IMG_2391.JPG,2052
IMG_2392.JPG,2035
IMG_2394.JPG,2032
IMG_2395.JPG,2016
IMG_2396.JPG,2088
IMG_2397.JPG,2116
IMG_2398.JPG,2180
IMG_2399.JPG,2200
IMG_2400.JPG,2092
IMG_2401.JPG,2084
IMG_2402.JPG,2052
