"fID"	"treat"	"camera_id"	"handcounted"	"handcount"	"test_case"	"visually_recheck"	"setDate.x"	"flipDate.x"	"days.x"	"repl.x"	"NstartF.x"	"NstartM.x"	"box.x"	"ccoord.x"	"rcoord.x"	"deadF.x"	"deadM "	"cens.x"	"carriedF.x"	"carriedM.x"	"NA"	"id.x"	"setDate.y"	"flipDate.y"	"days.y"	"repl.y"	"NstartF.y"	"NstartM.y"	"box.y"	"ccoord.y"	"rcoord.y"	"deadF.y"	"deadM"	"cens.y"	"carriedF.y"	"carriedM.y"	"censSex"	"notes"	"flipper"	"time"	"id.y"
"S23D68_a"	"STD"	"IMG_3097.JPG"	NA	NA	NA	NA	2016-02-29	2016-04-12	43	"a"	24	6	3	8	7	0	0	0	0	0	NA	"S23D68_a_STD"	"2/29/16"	2016-04-12	43	"a"	24	6	3	8	7	0	0	0	0	0	""	""	""	""	"S23D68_a_STD"
"S33D98_b"	"LY"	"IMG_3102.JPG"	"yes"	631	NA	NA	2016-03-15	2016-04-12	28	"b"	17	6	4	10	10	0	0	1	0	0	NA	"S33D98_b_LY"	"3/15/16"	2016-04-12	28	"b"	17	6	4	10	10	0	0	1	0	0	""	""	""	""	"S33D98_b_LY"
"S61D183_a"	"LY"	"IMG_3103.JPG"	"yes"	690	NA	NA	2016-03-05	2016-04-12	25	"a"	15	6	3	1	7	0	0	0	0	0	NA	"S61D183_a_LY"	"3/5/16"	2016-04-12	25	"a"	15	6	3	1	7	0	0	0	0	0	""	""	""	""	"S61D183_a_LY"
"S53D157_b"	"LY"	"IMG_3104.JPG"	NA	NA	NA	NA	2016-03-28	2016-04-12	15	"b"	17	6	1	8	4	0	0	0	0	0	NA	"S53D157_b_LY"	"3/28/16"	2016-04-12	15	"b"	17	6	1	8	4	0	0	0	0	0	""	""	""	""	"S53D157_b_LY"
"S3D9_b"	"LY"	"IMG_3105.JPG"	NA	NA	NA	NA	2016-03-24	2016-04-12	19	"b"	15	6	1	5	10	0	0	0	0	0	NA	"S3D9_b_LY"	"3/24/16"	2016-04-12	19	"b"	15	6	1	5	10	0	0	0	0	0	""	""	""	""	"S3D9_b_LY"
"S59D175_b"	"LY"	"IMG_3106.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"b"	22	6	2	6	10	0	0	0	0	0	NA	"S59D175_b_LY"	"3/11/16"	2016-04-12	32	"b"	22	6	2	6	10	0	0	0	0	0	""	""	""	""	"S59D175_b_LY"
"S45D133_a"	"LY"	"IMG_3107.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"a"	19	6	2	6	7	0	0	0	0	0	NA	"S45D133_a_LY"	"3/11/16"	2016-04-12	32	"a"	19	6	2	6	7	0	0	0	0	0	""	""	""	""	"S45D133_a_LY"
"S47D139_a"	"LY"	"IMG_3108.JPG"	NA	NA	NA	NA	2016-02-29	2016-04-12	43	"a"	24	6	4	4	10	0	0	0	0	0	NA	"S47D139_a_LY"	"2/29/16"	2016-04-12	43	"a"	24	6	4	4	10	0	0	0	0	0	""	""	""	""	"S47D139_a_LY"
"S59D176_a"	"LY"	"IMG_3109.JPG"	NA	NA	NA	NA	2016-03-28	2016-04-12	15	"a"	24	6	1	2	3	0	1	0	0	0	NA	"S59D176_a_LY"	"3/28/16"	2016-04-12	15	"a"	24	6	1	2	3	0	1	0	0	0	""	""	""	""	"S59D176_a_LY"
"S13D38_b"	"LY"	"IMG_3110.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"b"	23	6	3	1	10	1	0	0	0	0	NA	"S13D38_b_LY"	"3/11/16"	2016-04-12	32	"b"	23	6	3	1	10	1	0	0	0	0	""	""	""	""	"S13D38_b_LY"
